Altitude (m),Delta T from ISA (K),Prop Shaft Power Delivered (kW),SFC (kg/kWh),Fuel Flow (L/h)
0,-40,112.2,0.36,47.8
0,-30,112.2,0.356,47.3
0,-20,112.2,0.353,46.9
0,-10,109.2,0.356,45.9
0,0,102.0,0.365,44.0
0,10,94.5,0.377,42.1
0,20,86.3,0.392,40.0
0,30,78.0,0.411,37.9
1000,-40,112.2,0.345,45.9
1000,-30,112.2,0.341,45.3
1000,-20,107.1,0.345,43.8
1000,-10,100.1,0.353,41.8
1000,0,93.7,0.362,40.1
1000,10,87.2,0.372,38.4
1000,20,80.4,0.385,36.6
1000,30,73.1,0.402,34.8
2000,-40,112.2,0.333,44.2
2000,-30,105.0,0.337,41.9
2000,-20,97.9,0.344,39.8
2000,-10,91.5,0.351,38.0
2000,0,85.6,0.359,36.4
2000,10,79.9,0.368,34.9
2000,20,74.2,0.38,33.4
2000,30,68.0,0.395,31.8
3000,-40,103.7,0.332,40.8
3000,-30,96.1,0.337,38.3
3000,-20,89.3,0.342,36.2
3000,-10,83.4,0.349,34.5
3000,0,78.0,0.357,32.9
3000,10,72.9,0.366,31.5
3000,20,67.9,0.376,30.2
3000,30,62.8,0.389,28.9
